"MONTH","DAY","DAY_OF_WEEK","AIRLINE","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","SCHEDULED_TIME","DISTANCE","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","MAXTEMP","MINTEMP","PRECIPITATION","ID"
12,10,4,"DL","ATL","TPA",1025,84,406,1149,1151,1,67,51,0,187824
12,21,1,"WN","TPA","ATL",1055,90,406,1225,1215,0,57,44,0.42,212422
12,16,3,"WN","TPA","ATL",1330,90,406,1500,1450,0,72,46,0.17,200251
12,21,1,"DL","TPA","ATL",1645,101,406,1826,1801,0,57,44,0.42,213173
12,24,4,"DL","TPA","ATL",1045,89,406,1214,1834,1,72,65,3.93,218364
12,8,2,"DL","TPA","ATL",1845,98,406,2023,2014,0,65,40,0,243823
12,25,5,"WN","ATL","TPA",1500,90,406,1630,1617,0,75,63,0.71,219964
12,9,3,"WN","TPA","ATL",1635,85,406,1800,1754,0,66,42,0,245659
12,8,2,"WN","ATL","TPA",1345,90,406,1515,1456,0,65,40,0,243152
12,4,5,"WN","TPA","ATL",1925,90,406,2055,2058,1,57,38,0,236111
12,21,1,"DL","TPA","ATL",1045,90,406,1215,1203,0,57,44,0.42,212392
12,11,5,"DL","TPA","ATL",720,98,406,858,907,1,73,55,0,189562
12,27,7,"DL","ATL","TPA",1635,85,406,1800,1827,1,75,65,0.01,223815
12,21,1,"WN","ATL","TPA",1820,85,406,1945,2019,1,57,44,0.42,213361
12,6,7,"WN","TPA","ATL",1635,85,406,1800,1802,1,65,42,0,239278
12,13,7,"NK","TPA","ATL",705,85,406,830,833,1,72,53,0,193132
12,30,3,"NK","TPA","ATL",1336,86,406,1502,1714,1,66,58,1.45,231639
12,10,4,"DL","TPA","ATL",1645,101,406,1826,1810,0,67,51,0,188676
12,5,6,"DL","ATL","TPA",1128,82,406,1250,1309,1,59,37,0,237012
12,21,1,"WN","ATL","TPA",1730,85,406,1855,1855,0,57,44,0.42,213252
12,12,6,"NK","ATL","TPA",1935,81,406,2056,2116,1,73,53,0,192791
12,8,2,"WN","TPA","ATL",2015,90,406,2145,2147,1,65,40,0,243986
12,13,7,"DL","TPA","ATL",720,98,406,858,842,0,72,53,0,193151
12,21,1,"DL","TPA","ATL",830,98,406,1008,952,0,57,44,0.42,212121
12,8,2,"WN","ATL","TPA",2125,90,406,2255,2303,1,65,40,0,244085
12,7,1,"WN","ATL","TPA",1015,95,406,1150,1136,0,66,46,0,240575
12,21,1,"DL","ATL","TPA",1535,84,406,1659,1646,0,57,44,0.42,213008
12,2,3,"WN","ATL","TPA",1015,95,406,1150,1203,1,63,47,0.15,208150
12,4,5,"DL","TPA","ATL",520,85,406,645,629,0,57,38,0,234260
12,29,2,"DL","ATL","TPA",1745,85,406,1910,1911,1,71,57,0,228010
12,8,2,"NK","TPA","ATL",1345,86,406,1511,1510,0,65,40,0,243147
12,14,1,"DL","ATL","TPA",1730,85,406,1855,2013,1,68,54,0.26,196559
12,20,7,"DL","TPA","ATL",945,93,406,1118,1103,0,55,34,0,210191
12,19,6,"NK","ATL","TPA",1135,81,406,1256,1304,1,53,29,0,206347
12,3,4,"DL","ATL","TPA",925,83,406,1048,1050,1,48,40,0,229008
12,7,1,"NK","TPA","ATL",705,85,406,830,824,0,66,46,0,240157
12,13,7,"WN","TPA","ATL",1925,90,406,2055,2041,0,72,53,0,194663
12,15,2,"DL","ATL","TPA",1436,79,406,1555,1555,0,72,48,0,198290
12,26,6,"WN","ATL","TPA",2020,85,406,2145,2149,1,77,60,0.02,222210
12,22,2,"DL","ATL","TPA",1745,85,406,1910,1919,1,64,53,0.38,215335
12,24,4,"DL","ATL","TPA",1254,84,406,1418,1626,1,72,65,3.93,218565
12,20,7,"DL","TPA","ATL",1545,95,406,1720,1703,0,55,34,0,210939
12,31,4,"DL","TPA","ATL",600,87,406,727,716,0,62,46,0.22,232706
12,1,2,"DL","TPA","ATL",1035,90,406,1205,1152,0,70,60,0,185720
12,12,6,"DL","ATL","TPA",825,80,406,945,946,1,73,53,0,191716
12,18,5,"DL","ATL","TPA",2045,86,406,2211,2203,0,48,32,0,205424
12,29,2,"DL","ATL","TPA",1905,88,406,2033,2106,1,71,57,0,228144
12,20,7,"DL","TPA","ATL",1345,97,406,1522,1456,0,55,34,0,210683
12,25,5,"DL","ATL","TPA",2211,84,406,2335,2329,0,75,63,0.71,220465
12,23,3,"WN","TPA","ATL",1645,90,406,1815,1807,0,66,61,1.26,217273
12,26,6,"DL","ATL","TPA",1905,88,406,2033,2052,1,77,60,0.02,222081
12,6,7,"DL","TPA","ATL",1545,96,406,1721,1711,0,65,42,0,239154
12,7,1,"WN","TPA","ATL",1330,90,406,1500,1452,0,66,46,0,240985
12,24,4,"WN","ATL","TPA",1015,95,406,1150,1634,1,72,65,3.93,218332
12,17,4,"WN","TPA","ATL",2015,90,406,2145,2153,1,66,48,1.99,203264
12,9,3,"DL","ATL","TPA",725,83,406,848,843,0,66,42,0,244440
12,10,4,"DL","ATL","TPA",1330,82,406,1452,1454,1,67,51,0,188217
12,28,1,"DL","TPA","ATL",1245,99,406,1424,1407,0,73,66,1.54,225383
12,30,3,"DL","TPA","ATL",515,85,406,640,628,0,66,58,1.45,230651
12,11,5,"DL","TPA","ATL",1035,90,406,1205,1203,0,73,55,0,189996
12,19,6,"DL","ATL","TPA",2211,86,406,2337,2325,0,53,29,0,207458
12,10,4,"NK","TPA","ATL",1345,86,406,1511,1553,1,67,51,0,188246
